Nllamados,Nido,Trt,SexoPadreCuidador,Nidada,LogNidada,Tiempo
4,AutavauxTV,Hambriento,Macho,5,1.609437912,22.25
0,AutavauxTV,Saciado,Macho,5,1.609437912,22.38
2,AutavauxTV,Hambriento,Macho,5,1.609437912,22.53
2,AutavauxTV,Hambriento,Macho,5,1.609437912,22.56
2,AutavauxTV,Hambriento,Macho,5,1.609437912,22.61
2,AutavauxTV,Hambriento,Macho,5,1.609437912,22.65
18,AutavauxTV,Hambriento,Macho,5,1.609437912,22.76
4,AutavauxTV,Saciado,Hembra,5,1.609437912,22.9
18,AutavauxTV,Hambriento,Macho,5,1.609437912,22.98
0,AutavauxTV,Saciado,Hembra,5,1.609437912,23.07
0,AutavauxTV,Saciado,Hembra,5,1.609437912,23.18
3,AutavauxTV,Hambriento,Hembra,5,1.609437912,23.28
0,AutavauxTV,Saciado,Macho,5,1.609437912,23.38
3,AutavauxTV,Hambriento,Macho,5,1.609437912,23.43
3,AutavauxTV,Hambriento,Hembra,5,1.609437912,23.45
6,AutavauxTV,Hambriento,Macho,5,1.609437912,23.68
0,AutavauxTV,Hambriento,Hembra,5,1.609437912,24
4,AutavauxTV,Saciado,Macho,5,1.609437912,24.21
0,AutavauxTV,Hambriento,Macho,5,1.609437912,24.25
7,AutavauxTV,Hambriento,Macho,5,1.609437912,24.58
7,AutavauxTV,Hambriento,Macho,5,1.609437912,24.65
0,AutavauxTV,Saciado,Macho,5,1.609437912,24.95
16,AutavauxTV,Saciado,Hembra,5,1.609437912,25.25
7,AutavauxTV,Saciado,Macho,5,1.609437912,25.75
0,AutavauxTV,Hambriento,Macho,5,1.609437912,27.71
7,AutavauxTV,Hambriento,Hembra,5,1.609437912,27.85
16,AutavauxTV,Hambriento,Hembra,5,1.609437912,28.02
5,AutavauxTV,Hambriento,Macho,5,1.609437912,28.82
3,Bochet,Saciado,Hembra,4,1.386294361,22.81
2,Bochet,Saciado,Macho,4,1.386294361,23.2
13,Bochet,Hambriento,Macho,4,1.386294361,23.22
13,Bochet,Hambriento,Hembra,4,1.386294361,23.23
22,Bochet,Hambriento,Macho,4,1.386294361,23.33
2,Bochet,Saciado,Macho,4,1.386294361,23.36
2,Bochet,Saciado,Hembra,4,1.386294361,23.4
2,Bochet,Saciado,Macho,4,1.386294361,23.45
22,Bochet,Hambriento,Macho,4,1.386294361,23.46
12,Bochet,Hambriento,Hembra,4,1.386294361,23.5
0,Bochet,Saciado,Hembra,4,1.386294361,23.51
12,Bochet,Hambriento,Hembra,4,1.386294361,23.53
12,Bochet,Hambriento,Macho,4,1.386294361,23.78
0,Bochet,Saciado,Macho,4,1.386294361,23.88
0,Bochet,Saciado,Hembra,4,1.386294361,23.95
0,Bochet,Saciado,Hembra,4,1.386294361,24.35
0,Bochet,Saciado,Hembra,4,1.386294361,24.45
0,Bochet,Hambriento,Macho,4,1.386294361,26.3
0,Bochet,Hambriento,Macho,4,1.386294361,26.43
0,Bochet,Saciado,Macho,4,1.386294361,27.1
0,Bochet,Saciado,Macho,4,1.386294361,27.33
0,Bochet,Hambriento,Macho,4,1.386294361,27.55
0,Bochet,Saciado,Macho,4,1.386294361,27.98
3,Champmartin,Hambriento,Hembra,3,1.098612289,22.08
0,Champmartin,Hambriento,Hembra,3,1.098612289,22.36
0,Champmartin,Saciado,Hembra,3,1.098612289,22.46
10,Champmartin,Hambriento,Hembra,3,1.098612289,22.62
18,Champmartin,Hambriento,Hembra,3,1.098612289,22.83
18,Champmartin,Hambriento,Hembra,3,1.098612289,22.98
0,Champmartin,Hambriento,Hembra,3,1.098612289,23.1
0,Champmartin,Hambriento,Hembra,3,1.098612289,23.15
2,Champmartin,Hambriento,Hembra,3,1.098612289,23.56
2,Champmartin,Hambriento,Hembra,3,1.098612289,23.73
4,Champmartin,Hambriento,Hembra,3,1.098612289,23.95
0,Champmartin,Saciado,Hembra,3,1.098612289,24.1
0,Champmartin,Saciado,Hembra,3,1.098612289,24.21
3,Champmartin,Hambriento,Hembra,3,1.098612289,24.53
7,Champmartin,Hambriento,Hembra,3,1.098612289,24.78
7,Champmartin,Hambriento,Hembra,3,1.098612289,24.93
13,Champmartin,Hambriento,Hembra,3,1.098612289,25.03
16,Champmartin,Hambriento,Hembra,3,1.098612289,25.28
14,Champmartin,Hambriento,Hembra,3,1.098612289,25.63
0,Champmartin,Saciado,Hembra,3,1.098612289,25.71
0,Champmartin,Hambriento,Hembra,3,1.098612289,25.82
0,Champmartin,Hambriento,Hembra,3,1.098612289,26.6
0,Champmartin,Saciado,Hembra,3,1.098612289,27.28
0,Champmartin,Saciado,Hembra,3,1.098612289,27.4
0,Champmartin,Saciado,Hembra,3,1.098612289,27.5
0,Champmartin,Hambriento,Hembra,3,1.098612289,27.66
0,Champmartin,Saciado,Hembra,3,1.098612289,27.66
0,Champmartin,Saciado,Hembra,3,1.098612289,27.91
1,Champmartin,Hambriento,Hembra,3,1.098612289,28.58
3,Champmartin,Hambriento,Hembra,3,1.098612289,29.23
23,ChEsard,Hambriento,Macho,4,1.386294361,22.36
19,ChEsard,Hambriento,Macho,4,1.386294361,22.55
19,ChEsard,Hambriento,Macho,4,1.386294361,22.66
14,ChEsard,Hambriento,Macho,4,1.386294361,23.13
18,ChEsard,Hambriento,Hembra,4,1.386294361,23.26
18,ChEsard,Hambriento,Macho,4,1.386294361,23.33
14,ChEsard,Hambriento,Macho,4,1.386294361,23.58
14,ChEsard,Hambriento,Macho,4,1.386294361,23.68
6,ChEsard,Hambriento,Macho,4,1.386294361,23.82
6,ChEsard,Hambriento,Macho,4,1.386294361,23.93
12,ChEsard,Hambriento,Macho,4,1.386294361,24.63
12,ChEsard,Hambriento,Hembra,4,1.386294361,24.66
12,ChEsard,Hambriento,Macho,4,1.386294361,24.88
19,ChEsard,Saciado,Hembra,4,1.386294361,25.38
0,ChEsard,Hambriento,Macho,4,1.386294361,25.5
17,ChEsard,Hambriento,Macho,4,1.386294361,25.95
3,ChEsard,Hambriento,Macho,4,1.386294361,26.65
11,ChEsard,Hambriento,Macho,4,1.386294361,26.85
2,ChEsard,Hambriento,Macho,4,1.386294361,27.06
6,ChEsard,Saciado,Macho,4,1.386294361,27.66
2,CorcellesFavres,Saciado,Macho,3,1.098612289,22.76
9,CorcellesFavres,Saciado,Macho,3,1.098612289,24.11
7,CorcellesFavres,Hambriento,Hembra,3,1.098612289,25.15
2,CorcellesFavres,Saciado,Hembra,3,1.098612289,25.38
4,CorcellesFavres,Saciado,Macho,3,1.098612289,25.63
9,CorcellesFavres,Saciado,Macho,3,1.098612289,26.03
5,CorcellesFavres,Saciado,Macho,3,1.098612289,26.3
6,CorcellesFavres,Saciado,Macho,3,1.098612289,26.73
3,CorcellesFavres,Saciado,Macho,3,1.098612289,28.43
7,CorcellesFavres,Saciado,Macho,3,1.098612289,28.86
5,CorcellesFavres,Hambriento,Hembra,3,1.098612289,28.98
20,CorcellesFavres,Saciado,Macho,3,1.098612289,29.11
4,Etrabloz,Hambriento,Macho,5,1.609437912,22.01
4,Etrabloz,Hambriento,Hembra,5,1.609437912,22.15
14,Etrabloz,Hambriento,Macho,5,1.609437912,22.26
0,Etrabloz,Saciado,Hembra,5,1.609437912,22.46
0,Etrabloz,Saciado,Hembra,5,1.609437912,22.51
9,Etrabloz,Hambriento,Hembra,5,1.609437912,22.7
14,Etrabloz,Hambriento,Macho,5,1.609437912,22.85
6,Etrabloz,Hambriento,Macho,5,1.609437912,23.13
2,Etrabloz,Saciado,Macho,5,1.609437912,23.3
8,Etrabloz,Hambriento,Macho,5,1.609437912,23.31
2,Etrabloz,Hambriento,Hembra,5,1.609437912,23.7
0,Etrabloz,Saciado,Macho,5,1.609437912,23.73
5,Etrabloz,Hambriento,Macho,5,1.609437912,23.76
5,Etrabloz,Hambriento,Hembra,5,1.609437912,23.81
0,Etrabloz,Saciado,Macho,5,1.609437912,24.05
0,Etrabloz,Saciado,Hembra,5,1.609437912,24.38
0,Etrabloz,Saciado,Hembra,5,1.609437912,24.43
0,Etrabloz,Saciado,Hembra,5,1.609437912,24.58
0,Etrabloz,Hambriento,Hembra,5,1.609437912,24.65
0,Etrabloz,Saciado,Hembra,5,1.609437912,25.05
0,Etrabloz,Saciado,Hembra,5,1.609437912,25.61
1,Etrabloz,Hambriento,Hembra,5,1.609437912,25.61
0,Etrabloz,Saciado,Macho,5,1.609437912,26.28
5,Etrabloz,Hambriento,Hembra,5,1.609437912,26.33
5,Etrabloz,Hambriento,Hembra,5,1.609437912,26.48
1,Etrabloz,Hambriento,Hembra,5,1.609437912,26.85
10,Etrabloz,Hambriento,Hembra,5,1.609437912,27.5
8,Etrabloz,Hambriento,Macho,5,1.609437912,27.55
2,Etrabloz,Saciado,Hembra,5,1.609437912,28.26
10,Etrabloz,Hambriento,Macho,5,1.609437912,28.35
2,Etrabloz,Hambriento,Macho,5,1.609437912,28.7
13,Etrabloz,Hambriento,Macho,5,1.609437912,28.81
13,Etrabloz,Hambriento,Macho,5,1.609437912,28.9
13,Etrabloz,Hambriento,Macho,5,1.609437912,29.25
0,Franex,Saciado,Macho,4,1.386294361,22.36
0,Franex,Saciado,Macho,4,1.386294361,22.45
19,Franex,Hambriento,Hembra,4,1.386294361,22.66
19,Franex,Hambriento,Macho,4,1.386294361,22.68
19,Franex,Hambriento,Macho,4,1.386294361,22.75
8,Franex,Hambriento,Hembra,4,1.386294361,22.76
9,Franex,Hambriento,Hembra,4,1.386294361,23.05
1,Franex,Hambriento,Macho,4,1.386294361,23.48
4,Franex,Hambriento,Macho,4,1.386294361,23.65
3,Franex,Hambriento,Macho,4,1.386294361,23.8
3,Franex,Hambriento,Macho,4,1.386294361,23.9
6,Franex,Hambriento,Macho,4,1.386294361,24.05
6,Franex,Hambriento,Hembra,4,1.386294361,24.08
6,Franex,Hambriento,Macho,4,1.386294361,24.25
0,Franex,Saciado,Hembra,4,1.386294361,24.58
0,Franex,Saciado,Hembra,4,1.386294361,24.68
0,Franex,Saciado,Macho,4,1.386294361,24.73
3,Franex,Saciado,Macho,4,1.386294361,25.11
0,Franex,Hambriento,Macho,4,1.386294361,25.26
4,Franex,Hambriento,Macho,4,1.386294361,26.36
4,Franex,Hambriento,Macho,4,1.386294361,26.6
4,Franex,Hambriento,Macho,4,1.386294361,26.71
14,Franex,Hambriento,Macho,4,1.386294361,26.95
5,Franex,Saciado,Macho,4,1.386294361,27.1
8,Franex,Hambriento,Hembra,4,1.386294361,27.25
16,Franex,Hambriento,Macho,4,1.386294361,27.38
16,Gletterens,Hambriento,Hembra,2,0.693147181,23.15
16,Gletterens,Hambriento,Hembra,2,0.693147181,23.25
3,Gletterens,Saciado,Hembra,2,0.693147181,23.8
0,Gletterens,Hambriento,Hembra,2,0.693147181,24.05
0,Gletterens,Hambriento,Hembra,2,0.693147181,24.53
0,Gletterens,Hambriento,Macho,2,0.693147181,24.55
0,Gletterens,Saciado,Macho,2,0.693147181,24.81
5,Gletterens,Hambriento,Hembra,2,0.693147181,24.85
9,Gletterens,Saciado,Hembra,2,0.693147181,25.1
10,Gletterens,Hambriento,Hembra,2,0.693147181,25.8
3,Gletterens,Hambriento,Macho,2,0.693147181,26.3
0,Gletterens,Hambriento,Macho,2,0.693147181,27.23
0,Gletterens,Saciado,Hembra,2,0.693147181,27.4
0,Gletterens,Hambriento,Macho,2,0.693147181,27.61
2,Gletterens,Hambriento,Macho,2,0.693147181,28.78
6,Henniez,Hambriento,Hembra,2,0.693147181,22.51
6,Henniez,Hambriento,Hembra,2,0.693147181,22.63
2,Henniez,Saciado,Hembra,2,0.693147181,22.68
17,Henniez,Saciado,Hembra,2,0.693147181,22.76
3,Henniez,Hambriento,Hembra,2,0.693147181,22.91
0,Henniez,Saciado,Hembra,2,0.693147181,23.06
0,Henniez,Saciado,Hembra,2,0.693147181,23.28
0,Henniez,Hambriento,Hembra,2,0.693147181,23.81
0,Henniez,Saciado,Hembra,2,0.693147181,23.96
0,Henniez,Hambriento,Hembra,2,0.693147181,25.88
0,Henniez,Hambriento,Hembra,2,0.693147181,26.78
0,Henniez,Hambriento,Hembra,2,0.693147181,27.63
0,Henniez,Saciado,Hembra,2,0.693147181,28.26
3,Jeuss,Saciado,Macho,5,1.609437912,22.66
9,Jeuss,Hambriento,Hembra,5,1.609437912,23.11
0,Jeuss,Saciado,Macho,5,1.609437912,23.16
0,Jeuss,Saciado,Hembra,5,1.609437912,23.41
12,Jeuss,Hambriento,Macho,5,1.609437912,25.58
0,Jeuss,Saciado,Macho,5,1.609437912,25.9
2,Jeuss,Hambriento,Macho,5,1.609437912,25.93
11,Jeuss,Hambriento,Hembra,5,1.609437912,26.16
5,Jeuss,Hambriento,Macho,5,1.609437912,26.33
3,Jeuss,Hambriento,Macho,5,1.609437912,26.56
0,Jeuss,Saciado,Hembra,5,1.609437912,26.6
3,Jeuss,Hambriento,Hembra,5,1.609437912,26.75
3,Jeuss,Hambriento,Macho,5,1.609437912,26.83
0,Jeuss,Saciado,Hembra,5,1.609437912,26.98
0,Jeuss,Saciado,Macho,5,1.609437912,27.48
0,Jeuss,Hambriento,Hembra,5,1.609437912,27.51
0,Jeuss,Saciado,Hembra,5,1.609437912,28
0,Jeuss,Saciado,Macho,5,1.609437912,28.8
2,Jeuss,Hambriento,Macho,5,1.609437912,28.98
0,LesPlanches,Saciado,Macho,3,1.098612289,21.78
0,LesPlanches,Saciado,Macho,3,1.098612289,21.81
3,LesPlanches,Hambriento,Macho,3,1.098612289,22.3
0,LesPlanches,Saciado,Macho,3,1.098612289,22.31
10,LesPlanches,Saciado,Macho,3,1.098612289,22.51
10,LesPlanches,Hambriento,Macho,3,1.098612289,22.63
10,LesPlanches,Hambriento,Macho,3,1.098612289,23.06
0,LesPlanches,Saciado,Macho,3,1.098612289,23.38
0,LesPlanches,Saciado,Macho,3,1.098612289,23.41
11,LesPlanches,Saciado,Macho,3,1.098612289,23.68
0,LesPlanches,Hambriento,Macho,3,1.098612289,24.03
0,LesPlanches,Saciado,Macho,3,1.098612289,24.43
0,LesPlanches,Hambriento,Macho,3,1.098612289,26.55
0,LesPlanches,Hambriento,Hembra,3,1.098612289,26.76
0,LesPlanches,Hambriento,Macho,3,1.098612289,27.45
11,LesPlanches,Hambriento,Macho,3,1.098612289,27.6
6,LesPlanches,Hambriento,Macho,3,1.098612289,28.26
9,Lucens,Saciado,Macho,4,1.386294361,22.36
23,Lucens,Hambriento,Hembra,4,1.386294361,22.38
15,Lucens,Hambriento,Macho,4,1.386294361,22.68
2,Lucens,Saciado,Macho,4,1.386294361,22.76
12,Lucens,Hambriento,Macho,4,1.386294361,22.81
12,Lucens,Hambriento,Macho,4,1.386294361,22.9
12,Lucens,Hambriento,Macho,4,1.386294361,22.98
0,Lucens,Saciado,Hembra,4,1.386294361,23.03
0,Lucens,Hambriento,Hembra,4,1.386294361,23.38
0,Lucens,Hambriento,Hembra,4,1.386294361,23.45
14,Lucens,Hambriento,Hembra,4,1.386294361,23.51
14,Lucens,Hambriento,Macho,4,1.386294361,23.56
14,Lucens,Hambriento,Hembra,4,1.386294361,23.6
2,Lucens,Hambriento,Macho,4,1.386294361,24.25
13,Lucens,Saciado,Macho,4,1.386294361,25.05
0,Lucens,Hambriento,Hembra,4,1.386294361,25.1
1,Lucens,Hambriento,Hembra,4,1.386294361,25.36
0,Lucens,Saciado,Macho,4,1.386294361,26.2
4,Lucens,Hambriento,Macho,4,1.386294361,26.5
8,Lucens,Hambriento,Hembra,4,1.386294361,26.61
1,Lucens,Hambriento,Macho,4,1.386294361,26.81
0,Lucens,Saciado,Macho,4,1.386294361,26.85
4,Lucens,Hambriento,Macho,4,1.386294361,27.08
0,Lucens,Saciado,Hembra,4,1.386294361,27.16
5,Lucens,Hambriento,Hembra,4,1.386294361,27.53
8,Lucens,Hambriento,Hembra,4,1.386294361,28.03
9,Lucens,Saciado,Hembra,4,1.386294361,28.13
7,Lucens,Saciado,Macho,4,1.386294361,28.26
7,Lucens,Hambriento,Macho,4,1.386294361,28.4
16,Lully,Hambriento,Macho,4,1.386294361,22.31
13,Lully,Hambriento,Hembra,4,1.386294361,22.51
13,Lully,Hambriento,Macho,4,1.386294361,22.55
15,Lully,Hambriento,Macho,4,1.386294361,22.98
14,Lully,Hambriento,Macho,4,1.386294361,23.01
14,Lully,Hambriento,Macho,4,1.386294361,23.15
6,Lully,Saciado,Hembra,4,1.386294361,23.25
15,Lully,Hambriento,Hembra,4,1.386294361,23.63
15,Lully,Hambriento,Macho,4,1.386294361,23.66
6,Lully,Saciado,Macho,4,1.386294361,23.7
0,Lully,Hambriento,Hembra,4,1.386294361,24.4
